CPUUtilization,DiskReadOps,DiskWriteOps,NetworkIn,NetworkOut
83.28,1180.0,1234.0,19125.0,35913.0
37.7,814.0,805.0,23699.0,13450.0
31.74,758.0,1236.0,23124.0,44763.0
64.96,1341.0,1388.0,43013.0,44989.0
86.54,1204.0,1012.0,38155.0,42923.0
18.63,1251.0,1470.0,6182.0,13609.0
35.65,780.0,853.0,44899.0,41914.0
75.64,1365.0,900.0,23482.0,24279.0
89.07,621.0,1029.0,4330.0,43892.0
21.63,959.0,967.0,29354.0,31231.0
89.2,694.0,1393.0,35808.0,21923.0
58.44,976.0,894.0,9995.0,15004.0
23.88,694.0,1424.0,6727.0,11874.0
22.66,1499.0,1252.0,19266.0,33913.0
37.38,552.0,1239.0,49577.0,10121.0
35.6,1148.0,967.0,15549.0,44827.0
59.94,755.0,602.0,18770.0,8091.0
25.3,1116.0,695.0,29499.0,47772.0
38.91,1218.0,533.0,49465.0,17999.0
15.55,700.0,789.0,29751.0,45156.0
66.9,902.0,1272.0,4730.0,4941.0
14.75,709.0,874.0,44755.0,48882.0
66.63,553.0,529.0,33610.0,16734.0
49.49,1284.0,582.0,39543.0,28364.0
60.11,564.0,1025.0,34347.0,49118.0
59.1,1136.0,738.0,45340.0,41775.0
54.48,1357.0,1436.0,3234.0,17282.0
38.12,1190.0,891.0,49896.0,32649.0
21.18,1341.0,738.0,16041.0,45148.0
23.0,612.0,843.0,13973.0,1489.0
66.4,513.0,1160.0,17299.0,43552.0
71.86,866.0,947.0,5360.0,39062.0
83.59,1435.0,1257.0,25023.0,37384.0
51.39,711.0,1052.0,22949.0,24954.0
42.11,1358.0,824.0,29367.0,30764.0
73.16,954.0,1195.0,44658.0,29132.0
73.35,835.0,561.0,17871.0,40258.0
80.93,1335.0,1314.0,18977.0,11559.0
25.05,685.0,865.0,20526.0,13968.0
88.88,717.0,1368.0,6735.0,13540.0
10.54,610.0,754.0,11288.0,49271.0
32.79,504.0,661.0,9612.0,32223.0
11.69,1216.0,711.0,34715.0,34013.0
34.9,622.0,718.0,38967.0,38327.0
66.61,592.0,1265.0,36063.0,10997.0
77.43,819.0,1137.0,37289.0,11221.0
34.96,1028.0,1441.0,32814.0,36926.0
45.27,881.0,1145.0,45930.0,20703.0
27.83,1060.0,1480.0,39139.0,13042.0
